117.120.2.17_19.19.19.33.out.average, 
193.166.3.3_19.19.19.9.out.average,-0.105237,very-weak
193.6.176.62_19.19.19.16.out.average,0.430661,moderate
194.105.226.20_19.19.19.17.out.average,0.107692,very-weak
194.116.84.15_19.19.19.18.out.average,-0.187676,very-weak
194.2.0.36_19.19.19.10.out.average,-0.007091,very-weak
195.14.50.21_19.19.19.32.out.average,0.069135,very-weak
202.28.209.254_19.19.19.40.out.average,-0.011174,very-weak
202.38.97.230_19.19.19.4.out.average,-0.220136,weak
202.8.44.105_19.19.19.23.out.average,0.459816,moderate
202.90.159.172_19.19.19.25.out.average,0.002088,very-weak
203.0.178.32_19.19.19.1.out.average,0.000356,very-weak
203.178.132.80_19.19.19.19.out.average,0.131512,very-weak
212.110.161.69_19.19.19.45.out.average,0.228234,weak
212.191.2.18_19.19.19.26.out.average,0.098939,very-weak
212.191.2.18_19.19.19.27.out.average,0.378893,weak
212.47.239.32_19.19.19.11.out.average,0.036629,very-weak
213.166.187.92_19.19.19.36.out.average,-0.043830,very-weak
213.229.119.169_19.19.19.44.out.average,0.336545,weak
219.216.128.25_19.19.19.5.out.average,-0.028706,very-weak
23.79.234.240_19.19.19.48.out.average,0.317427,weak
31.193.177.85_19.19.19.2.out.average,0.129553,very-weak
5.101.158.166_19.19.19.31.out.average,0.310106,weak
58.28.25.150_19.19.19.24.out.average,0.107396,very-weak
62.44.96.38_19.19.19.3.out.average,0.158860,very-weak
78.154.171.62_19.19.19.43.out.average,0.029063,very-weak
78.96.7.8_19.19.19.30.out.average,0.096171,very-weak
95.173.191.11_19.19.19.42.out.average,0.371250,weak
130.225.254.116_19.19.19.8.out.average, 
117.120.2.17_19.19.19.33.out.average,0.268955,weak
122.152.116.24_19.19.19.20.out.average,-0.066563,very-weak
130.133.3.130_19.19.19.12.out.average,-0.081094,very-weak
130.161.131.20_19.19.19.21.out.average,0.062422,very-weak
130.206.1.5_19.19.19.35.out.average,0.188331,very-weak
130.225.254.116_19.19.19.8.out.average,0.999839,very-strong
130.236.254.50_19.19.19.37.out.average,0.409493,moderate
130.75.2.22_19.19.19.13.out.average,0.161583,very-weak
137.189.4.14_19.19.19.15.out.average,-0.080833,very-weak
140.117.11.7_19.19.19.39.out.average,0.032303,very-weak
140.128.9.18_19.19.19.38.out.average,-0.167918,very-weak
141.217.0.199_19.19.19.47.out.average,0.027586,very-weak
147.102.222.211_19.19.19.14.out.average,-0.039239,very-weak
149.20.37.36_19.19.19.22.out.average,0.464602,moderate
153.19.251.225_19.19.19.28.out.average,0.237101,weak
155.210.4.101_19.19.19.34.out.average,0.422414,moderate
162.213.3.248_19.19.19.49.out.average,0.372803,weak
163.1.160.163_19.19.19.46.out.average,0.220497,weak
163.178.174.25_19.19.19.6.out.average,0.376047,weak
185.87.121.190_19.19.19.41.out.average,0.481710,moderate
192.38.78.162_19.19.19.7.out.average,0.230343,weak
193.136.164.6_19.19.19.29.out.average,0.183876,very-weak
193.166.3.3_19.19.19.9.out.average,0.105767,very-weak
193.6.176.62_19.19.19.16.out.average,0.464422,moderate
194.105.226.20_19.19.19.17.out.average,0.455012,moderate
194.116.84.15_19.19.19.18.out.average,0.030314,very-weak
194.2.0.36_19.19.19.10.out.average,-0.198927,weak
195.14.50.21_19.19.19.32.out.average,0.404900,moderate
202.28.209.254_19.19.19.40.out.average,0.135066,very-weak
202.38.97.230_19.19.19.4.out.average,-0.090609,very-weak
202.8.44.105_19.19.19.23.out.average,0.201350,weak
202.90.159.172_19.19.19.25.out.average,0.131695,very-weak
203.0.178.32_19.19.19.1.out.average,-0.115654,very-weak
203.178.132.80_19.19.19.19.out.average,0.307614,weak
212.110.161.69_19.19.19.45.out.average,0.146901,very-weak
212.191.2.18_19.19.19.26.out.average,0.246430,weak
212.191.2.18_19.19.19.27.out.average,0.019350,very-weak
212.47.239.32_19.19.19.11.out.average,0.052394,very-weak
213.166.187.92_19.19.19.36.out.average,0.425797,moderate
213.229.119.169_19.19.19.44.out.average,-0.236136,weak
219.216.128.25_19.19.19.5.out.average,-0.130273,very-weak
23.79.234.240_19.19.19.48.out.average,0.418046,moderate
31.193.177.85_19.19.19.2.out.average,0.073206,very-weak
5.101.158.166_19.19.19.31.out.average,0.560989,moderate
58.28.25.150_19.19.19.24.out.average,0.023346,very-weak
62.44.96.38_19.19.19.3.out.average,0.210196,weak
78.154.171.62_19.19.19.43.out.average,0.197730,weak
78.96.7.8_19.19.19.30.out.average,0.297364,weak
95.173.191.11_19.19.19.42.out.average,0.470449,moderate
130.236.254.50_19.19.19.37.out.average, 
117.120.2.17_19.19.19.33.out.average,0.057521,very-weak
122.152.116.24_19.19.19.20.out.average,-0.040345,very-weak
130.133.3.130_19.19.19.12.out.average,-0.062392,very-weak
130.161.131.20_19.19.19.21.out.average,-0.076590,very-weak
130.206.1.5_19.19.19.35.out.average,-0.075700,very-weak
130.225.254.116_19.19.19.8.out.average,0.409794,moderate
130.236.254.50_19.19.19.37.out.average,1.000000,very-strong
130.75.2.22_19.19.19.13.out.average,0.254907,weak
137.189.4.14_19.19.19.15.out.average,-0.044095,very-weak
140.117.11.7_19.19.19.39.out.average,-0.039367,very-weak
140.128.9.18_19.19.19.38.out.average,-0.036491,very-weak
141.217.0.199_19.19.19.47.out.average,-0.066417,very-weak
147.102.222.211_19.19.19.14.out.average,-0.096351,very-weak
149.20.37.36_19.19.19.22.out.average,0.157814,very-weak
153.19.251.225_19.19.19.28.out.average,-0.058400,very-weak
155.210.4.101_19.19.19.34.out.average,0.287332,weak
162.213.3.248_19.19.19.49.out.average,0.013695,very-weak
163.1.160.163_19.19.19.46.out.average,0.279889,weak
163.178.174.25_19.19.19.6.out.average,0.038001,very-weak
185.87.121.190_19.19.19.41.out.average,0.492443,moderate
192.38.78.162_19.19.19.7.out.average,0.515467,moderate
193.136.164.6_19.19.19.29.out.average,0.034282,very-weak
193.166.3.3_19.19.19.9.out.average,0.439351,moderate
193.6.176.62_19.19.19.16.out.average,0.069643,very-weak
194.105.226.20_19.19.19.17.out.average,0.587759,moderate
194.116.84.15_19.19.19.18.out.average,-0.012266,very-weak
194.2.0.36_19.19.19.10.out.average,-0.084967,very-weak
195.14.50.21_19.19.19.32.out.average,0.559304,moderate
202.28.209.254_19.19.19.40.out.average,0.000749,very-weak
202.38.97.230_19.19.19.4.out.average,0.002158,very-weak
202.8.44.105_19.19.19.23.out.average,0.098690,very-weak
202.90.159.172_19.19.19.25.out.average,0.054228,very-weak
203.0.178.32_19.19.19.1.out.average,-0.110289,very-weak
203.178.132.80_19.19.19.19.out.average,0.171459,very-weak
212.110.161.69_19.19.19.45.out.average,0.339184,weak
212.191.2.18_19.19.19.26.out.average,-0.003419,very-weak
212.191.2.18_19.19.19.27.out.average,-0.022042,very-weak
212.47.239.32_19.19.19.11.out.average,-0.024848,very-weak
213.166.187.92_19.19.19.36.out.average,0.618500,strong
213.229.119.169_19.19.19.44.out.average,-0.048274,very-weak
219.216.128.25_19.19.19.5.out.average,-0.022831,very-weak
23.79.234.240_19.19.19.48.out.average,0.078399,very-weak
31.193.177.85_19.19.19.2.out.average,0.112378,very-weak
5.101.158.166_19.19.19.31.out.average,0.000310,very-weak
