117.120.2.17_19.19.19.33.out.average, 
149.20.37.36_19.19.19.22.out.average,0.317010,weak
153.19.251.225_19.19.19.28.out.average,0.247612,weak
155.210.4.101_19.19.19.34.out.average,0.335521,weak
162.213.3.248_19.19.19.49.out.average,0.343761,weak
163.1.221.67_19.19.19.46.out.average,0.202402,weak
163.178.174.25_19.19.19.6.out.average,0.159365,very-weak
185.87.121.190_19.19.19.41.out.average,0.265068,weak
192.38.78.162_19.19.19.7.out.average,0.170311,very-weak
193.136.164.6_19.19.19.29.out.average,0.406381,moderate
193.166.3.3_19.19.19.9.out.average,0.267563,weak
193.6.176.62_19.19.19.16.out.average,0.309424,weak
194.105.226.20_19.19.19.17.out.average,0.282806,weak
194.116.84.15_19.19.19.18.out.average,0.406633,moderate
194.2.0.36_19.19.19.10.out.average,0.290122,weak
195.14.50.21_19.19.19.32.out.average,0.247670,weak
202.28.209.254_19.19.19.40.out.average,0.264592,weak
202.38.97.230_19.19.19.4.out.average,0.332039,weak
202.8.44.105_19.19.19.23.out.average,0.118301,very-weak
202.90.159.172_19.19.19.25.out.average,0.189327,very-weak
203.0.178.32_19.19.19.1.out.average,0.135837,very-weak
203.178.132.80_19.19.19.19.out.average,0.391354,moderate
212.110.161.69_19.19.19.45.out.average,0.245012,weak
212.191.2.18_19.19.19.26.out.average,0.395549,moderate
212.191.2.18_19.19.19.27.out.average,0.284246,weak
212.47.239.32_19.19.19.11.out.average,0.242643,weak
213.166.187.92_19.19.19.36.out.average,0.318530,weak
213.229.119.169_19.19.19.44.out.average,0.142700,very-weak
219.216.128.25_19.19.19.5.out.average,0.178931,very-weak
23.79.234.240_19.19.19.48.out.average,0.289052,weak
31.193.177.85_19.19.19.2.out.average,0.204862,weak
5.101.158.166_19.19.19.31.out.average,0.223894,weak
58.28.25.150_19.19.19.24.out.average,0.358585,weak
62.44.96.38_19.19.19.3.out.average,0.197194,weak
78.154.171.62_19.19.19.43.out.average,0.257619,weak
78.96.7.8_19.19.19.30.out.average,0.291883,weak
95.173.191.11_19.19.19.42.out.average,0.400146,moderate
130.75.2.22_19.19.19.13.out.average, 
117.120.2.17_19.19.19.33.out.average,0.174615,very-weak
122.152.116.24_19.19.19.20.out.average,0.148227,very-weak
130.133.3.130_19.19.19.12.out.average,0.018493,very-weak
130.161.131.20_19.19.19.21.out.average,0.076104,very-weak
130.206.1.5_19.19.19.35.out.average,0.083246,very-weak
130.225.254.116_19.19.19.8.out.average,0.201414,weak
130.236.254.50_19.19.19.37.out.average,0.266282,weak
130.75.2.22_19.19.19.13.out.average,0.999996,very-strong
137.189.4.14_19.19.19.15.out.average,0.157873,very-weak
140.117.11.7_19.19.19.39.out.average,0.109776,very-weak
140.128.9.18_19.19.19.38.out.average,0.065272,very-weak
141.217.0.199_19.19.19.47.out.average,0.123790,very-weak
147.102.222.211_19.19.19.14.out.average,0.263359,weak
149.20.37.36_19.19.19.22.out.average,0.175132,very-weak
153.19.251.225_19.19.19.28.out.average,0.054215,very-weak
155.210.4.101_19.19.19.34.out.average,0.248574,weak
162.213.3.248_19.19.19.49.out.average,0.056719,very-weak
163.1.221.67_19.19.19.46.out.average,0.084922,very-weak
163.178.174.25_19.19.19.6.out.average,0.161302,very-weak
185.87.121.190_19.19.19.41.out.average,0.128136,very-weak
192.38.78.162_19.19.19.7.out.average,0.136552,very-weak
193.136.164.6_19.19.19.29.out.average,0.229719,weak
193.166.3.3_19.19.19.9.out.average,0.158245,very-weak
193.6.176.62_19.19.19.16.out.average,0.127365,very-weak
194.105.226.20_19.19.19.17.out.average,0.216564,weak
194.116.84.15_19.19.19.18.out.average,0.196274,weak
194.2.0.36_19.19.19.10.out.average,0.249693,weak
195.14.50.21_19.19.19.32.out.average,0.109617,very-weak
202.28.209.254_19.19.19.40.out.average,0.078883,very-weak
202.38.97.230_19.19.19.4.out.average,0.138798,very-weak
202.8.44.105_19.19.19.23.out.average,0.068732,very-weak
202.90.159.172_19.19.19.25.out.average,0.134663,very-weak
203.0.178.32_19.19.19.1.out.average,0.295592,weak
203.178.132.80_19.19.19.19.out.average,0.268846,weak
212.110.161.69_19.19.19.45.out.average,0.121686,very-weak
212.191.2.18_19.19.19.26.out.average,0.204283,weak
212.191.2.18_19.19.19.27.out.average,0.097680,very-weak
212.47.239.32_19.19.19.11.out.average,0.150577,very-weak
213.166.187.92_19.19.19.36.out.average,0.139707,very-weak
213.229.119.169_19.19.19.44.out.average,0.163776,very-weak
219.216.128.25_19.19.19.5.out.average,0.222597,weak
23.79.234.240_19.19.19.48.out.average,0.136862,very-weak
31.193.177.85_19.19.19.2.out.average,0.288745,weak
5.101.158.166_19.19.19.31.out.average,0.123191,very-weak
58.28.25.150_19.19.19.24.out.average,0.189210,very-weak
62.44.96.38_19.19.19.3.out.average,0.094995,very-weak
78.154.171.62_19.19.19.43.out.average,0.102040,very-weak
78.96.7.8_19.19.19.30.out.average,0.091111,very-weak
95.173.191.11_19.19.19.42.out.average,0.245761,weak
137.189.4.14_19.19.19.15.out.average, 
117.120.2.17_19.19.19.33.out.average,0.250702,weak
122.152.116.24_19.19.19.20.out.average,0.232578,weak
130.133.3.130_19.19.19.12.out.average,0.221133,weak
