117.120.2.17_19.19.19.33.out.average, 
5.101.158.166_19.19.19.31.out.average,-0.038516,very-weak
58.28.25.150_19.19.19.24.out.average,0.044275,very-weak
62.44.96.38_19.19.19.3.out.average,-0.001173,very-weak
78.154.171.62_19.19.19.43.out.average,0.096336,very-weak
78.96.7.8_19.19.19.30.out.average,-0.001300,very-weak
95.173.191.11_19.19.19.42.out.average,0.072779,very-weak
130.236.254.50_19.19.19.37.out.average, 
117.120.2.17_19.19.19.33.out.average,0.045999,very-weak
122.152.116.24_19.19.19.20.out.average,0.079831,very-weak
130.133.3.130_19.19.19.12.out.average,0.075757,very-weak
130.161.131.20_19.19.19.21.out.average,-0.022203,very-weak
130.206.1.5_19.19.19.35.out.average,-0.054084,very-weak
130.225.254.116_19.19.19.8.out.average,-0.040205,very-weak
130.236.254.50_19.19.19.37.out.average,0.193249,weak
130.75.2.22_19.19.19.13.out.average,0.125092,very-weak
137.189.4.14_19.19.19.15.out.average,0.031515,very-weak
140.117.11.7_19.19.19.39.out.average,0.054155,very-weak
140.128.9.18_19.19.19.38.out.average,-0.044555,very-weak
141.217.0.199_19.19.19.47.out.average,-0.058137,very-weak
147.102.222.211_19.19.19.14.out.average,0.002576,very-weak
149.20.37.36_19.19.19.22.out.average,-0.068904,very-weak
153.19.251.225_19.19.19.28.out.average,-0.080470,very-weak
155.210.4.101_19.19.19.34.out.average,0.039120,very-weak
162.213.3.248_19.19.19.49.out.average,0.171547,very-weak
163.1.160.163_19.19.19.46.out.average,-0.031163,very-weak
163.178.174.25_19.19.19.6.out.average,-0.085712,very-weak
185.87.121.190_19.19.19.41.out.average,0.056389,very-weak
192.38.78.162_19.19.19.7.out.average,0.119061,very-weak
193.136.164.6_19.19.19.29.out.average,0.021707,very-weak
193.166.3.3_19.19.19.9.out.average,0.054724,very-weak
193.6.176.62_19.19.19.16.out.average,-0.097437,very-weak
194.105.226.20_19.19.19.17.out.average,-0.006550,very-weak
194.116.84.15_19.19.19.18.out.average,-0.008275,very-weak
194.2.0.36_19.19.19.10.out.average,-0.017697,very-weak
195.14.50.21_19.19.19.32.out.average,-0.030901,very-weak
202.28.209.254_19.19.19.40.out.average,0.001286,very-weak
202.38.97.230_19.19.19.4.out.average,0.036840,very-weak
202.8.44.105_19.19.19.23.out.average,0.051433,very-weak
202.90.159.172_19.19.19.25.out.average,0.042847,very-weak
203.0.178.32_19.19.19.1.out.average,0.031639,very-weak
203.178.132.80_19.19.19.19.out.average,-0.000540,very-weak
212.110.161.69_19.19.19.45.out.average,-0.008810,very-weak
212.191.2.18_19.19.19.26.out.average,0.066049,very-weak
212.191.2.18_19.19.19.27.out.average,0.058555,very-weak
212.47.239.32_19.19.19.11.out.average,-0.031190,very-weak
213.166.187.92_19.19.19.36.out.average,-0.004839,very-weak
213.229.119.169_19.19.19.44.out.average,0.025135,very-weak
219.216.128.25_19.19.19.5.out.average,0.064492,very-weak
23.79.234.240_19.19.19.48.out.average,-0.017318,very-weak
31.193.177.85_19.19.19.2.out.average,0.042276,very-weak
5.101.158.166_19.19.19.31.out.average,-0.005120,very-weak
58.28.25.150_19.19.19.24.out.average,0.058920,very-weak
62.44.96.38_19.19.19.3.out.average,0.070291,very-weak
78.154.171.62_19.19.19.43.out.average,-0.058681,very-weak
78.96.7.8_19.19.19.30.out.average,0.035964,very-weak
95.173.191.11_19.19.19.42.out.average,0.121629,very-weak
130.75.2.22_19.19.19.13.out.average, 
117.120.2.17_19.19.19.33.out.average,0.118395,very-weak
122.152.116.24_19.19.19.20.out.average,0.033030,very-weak
130.133.3.130_19.19.19.12.out.average,-0.053066,very-weak
130.161.131.20_19.19.19.21.out.average,-0.004198,very-weak
130.206.1.5_19.19.19.35.out.average,0.037097,very-weak
130.225.254.116_19.19.19.8.out.average,-0.008120,very-weak
130.236.254.50_19.19.19.37.out.average,0.030487,very-weak
130.75.2.22_19.19.19.13.out.average,0.221354,weak
137.189.4.14_19.19.19.15.out.average,0.039604,very-weak
140.117.11.7_19.19.19.39.out.average,0.046857,very-weak
140.128.9.18_19.19.19.38.out.average,-0.060270,very-weak
141.217.0.199_19.19.19.47.out.average,0.030269,very-weak
147.102.222.211_19.19.19.14.out.average,-0.069183,very-weak
149.20.37.36_19.19.19.22.out.average,0.009282,very-weak
153.19.251.225_19.19.19.28.out.average,0.116961,very-weak
155.210.4.101_19.19.19.34.out.average,0.093895,very-weak
162.213.3.248_19.19.19.49.out.average,-0.083045,very-weak
163.1.160.163_19.19.19.46.out.average,0.005532,very-weak
163.178.174.25_19.19.19.6.out.average,-0.018914,very-weak
185.87.121.190_19.19.19.41.out.average,0.051186,very-weak
192.38.78.162_19.19.19.7.out.average,0.060669,very-weak
193.136.164.6_19.19.19.29.out.average,0.053217,very-weak
193.166.3.3_19.19.19.9.out.average,-0.068311,very-weak
193.6.176.62_19.19.19.16.out.average,0.102213,very-weak
194.105.226.20_19.19.19.17.out.average,-0.199043,weak
194.116.84.15_19.19.19.18.out.average,0.075074,very-weak
194.2.0.36_19.19.19.10.out.average,0.100839,very-weak
195.14.50.21_19.19.19.32.out.average,-0.050552,very-weak
202.28.209.254_19.19.19.40.out.average,0.049668,very-weak
202.38.97.230_19.19.19.4.out.average,0.013785,very-weak
202.8.44.105_19.19.19.23.out.average,0.068238,very-weak
202.90.159.172_19.19.19.25.out.average,0.001372,very-weak
203.0.178.32_19.19.19.1.out.average,0.053335,very-weak
203.178.132.80_19.19.19.19.out.average,-0.039400,very-weak
212.110.161.69_19.19.19.45.out.average,-0.080644,very-weak
212.191.2.18_19.19.19.26.out.average,0.020239,very-weak
212.191.2.18_19.19.19.27.out.average,0.008544,very-weak
212.47.239.32_19.19.19.11.out.average,-0.044298,very-weak
213.166.187.92_19.19.19.36.out.average,-0.146101,very-weak
213.229.119.169_19.19.19.44.out.average,0.023477,very-weak
219.216.128.25_19.19.19.5.out.average,0.007114,very-weak
23.79.234.240_19.19.19.48.out.average,-0.009390,very-weak
31.193.177.85_19.19.19.2.out.average,0.047134,very-weak
5.101.158.166_19.19.19.31.out.average,0.027450,very-weak
58.28.25.150_19.19.19.24.out.average,-0.028332,very-weak
62.44.96.38_19.19.19.3.out.average,-0.026165,very-weak
78.154.171.62_19.19.19.43.out.average,0.085466,very-weak
78.96.7.8_19.19.19.30.out.average,-0.109913,very-weak
95.173.191.11_19.19.19.42.out.average,-0.076126,very-weak
137.189.4.14_19.19.19.15.out.average, 
117.120.2.17_19.19.19.33.out.average,-0.004852,very-weak
122.152.116.24_19.19.19.20.out.average,0.006756,very-weak
130.133.3.130_19.19.19.12.out.average,-0.056232,very-weak
130.161.131.20_19.19.19.21.out.average,-0.010215,very-weak
130.206.1.5_19.19.19.35.out.average,0.136346,very-weak
130.225.254.116_19.19.19.8.out.average,-0.054559,very-weak
130.236.254.50_19.19.19.37.out.average,-0.075168,very-weak
130.75.2.22_19.19.19.13.out.average,-0.030848,very-weak
137.189.4.14_19.19.19.15.out.average,0.216350,weak
140.117.11.7_19.19.19.39.out.average,0.023501,very-weak
140.128.9.18_19.19.19.38.out.average,-0.031554,very-weak
141.217.0.199_19.19.19.47.out.average,0.023962,very-weak
147.102.222.211_19.19.19.14.out.average,0.012934,very-weak
149.20.37.36_19.19.19.22.out.average,0.072081,very-weak
153.19.251.225_19.19.19.28.out.average,-0.049730,very-weak
155.210.4.101_19.19.19.34.out.average,-0.064792,very-weak
162.213.3.248_19.19.19.49.out.average,-0.043350,very-weak
163.1.160.163_19.19.19.46.out.average,-0.008443,very-weak
163.178.174.25_19.19.19.6.out.average,-0.059701,very-weak
185.87.121.190_19.19.19.41.out.average,-0.014816,very-weak
192.38.78.162_19.19.19.7.out.average,0.043255,very-weak
193.136.164.6_19.19.19.29.out.average,0.025205,very-weak
193.166.3.3_19.19.19.9.out.average,-0.017448,very-weak
193.6.176.62_19.19.19.16.out.average,0.032021,very-weak
194.105.226.20_19.19.19.17.out.average,-0.011549,very-weak
194.116.84.15_19.19.19.18.out.average,-0.020696,very-weak
194.2.0.36_19.19.19.10.out.average,-0.029680,very-weak
195.14.50.21_19.19.19.32.out.average,0.054640,very-weak
202.28.209.254_19.19.19.40.out.average,-0.002643,very-weak
202.38.97.230_19.19.19.4.out.average,-0.063123,very-weak
202.8.44.105_19.19.19.23.out.average,-0.012510,very-weak
202.90.159.172_19.19.19.25.out.average,-0.001248,very-weak
203.0.178.32_19.19.19.1.out.average,0.117360,very-weak
203.178.132.80_19.19.19.19.out.average,0.026316,very-weak
212.110.161.69_19.19.19.45.out.average,0.056171,very-weak
212.191.2.18_19.19.19.26.out.average,-0.075146,very-weak
212.191.2.18_19.19.19.27.out.average,0.009775,very-weak
212.47.239.32_19.19.19.11.out.average,0.003010,very-weak
213.166.187.92_19.19.19.36.out.average,0.022549,very-weak
213.229.119.169_19.19.19.44.out.average,0.038100,very-weak
219.216.128.25_19.19.19.5.out.average,0.029452,very-weak
23.79.234.240_19.19.19.48.out.average,-0.103844,very-weak
31.193.177.85_19.19.19.2.out.average,0.029565,very-weak
5.101.158.166_19.19.19.31.out.average,0.080823,very-weak
58.28.25.150_19.19.19.24.out.average,0.012960,very-weak
62.44.96.38_19.19.19.3.out.average,0.004594,very-weak
78.154.171.62_19.19.19.43.out.average,0.074153,very-weak
78.96.7.8_19.19.19.30.out.average,0.120338,very-weak
95.173.191.11_19.19.19.42.out.average,-0.074009,very-weak
140.117.11.7_19.19.19.39.out.average, 
117.120.2.17_19.19.19.33.out.average,0.083593,very-weak
